Name,Label
Appetizer Platter,MENU
Onion Bhajia,MENU
Shrimp Biryani,MENU
Vindaloo Sauce,MENU
Amritsari Machi,MENU
Roti & Eggplant,MENU
Vegetable Garnish,MENU
Paneer Tikka,MENU
Beef Samosa,MENU
Veal Pulao,MENU
Achari Chicken,MENU
Silver Spoon,MENU
Silver,MENU
Haleem,MENU
Sindhi Biryani,MENU
Stew,MENU
Lollypop Chicken,MENU
Shami Kabab,MENU
Fingerfish,MENU
Chana Samosa,MENU
Vegetarian Samosas,MENU
Nam,MENU
Punjabi Kadi,MENU
Cream Sauce,MENU
Tandoor Roti,MENU
Papdi Chaat,MENU
Fried Tortilla Pieces,MENU
Gris,MENU
Salade,MENU
Oignon Bhaji,MENU
Bhaji,MENU
Yoghurt,MENU
Sweet Sauce,MENU
Paneer Curry,MENU
Bombay,MENU
Vegetables Jalfrezi,MENU
Vegetarian Thali,MENU
Thai,MENU
Papdi,MENU
Veg Thali,MENU
Duck,MENU
Lentil,MENU
Steamed Basmati Rice,MENU
Non Veg Thali,MENU
Chaat Pari,MENU
Shahi Panner,MENU
Aloo Paratha,MENU
Stuffed Bread,MENU
Orange Sauce,MENU
Vegetable Mix,MENU
Lollipop Chicken,MENU
Chicken Wings,MENU
Kungpao Chicken,MENU
Beans,MENU
Szechuan Fish,MENU
Fried Noodles,MENU
Yeng Chow Fried Rice,MENU
Combo Soup,MENU
Honey Garlic Chicken Wings,MENU
Bombay Chicken,MENU
Munchurian Chicken,MENU
Munchurian Chicken Chowmein,MENU
Chowmein,MENU
Steamed Rice,MENU
Shrimp Pekoras,MENU
Rian,MENU
Hakka Noodle,MENU
Manchurian Noodles,MENU
Honey Garlic Chicken Combo,MENU
Sweet And Sour Chicken,MENU
Bro,MENU
Sweet & Sour Chicken,MENU
Veggie Spring Roll,MENU
Chicken Hot & Sour Soup,MENU
Machurian Chicken,MENU
Bros Chicken Chilli Chicken,MENU
Chilli Fish Crispy Ginger Beef Spring Rolls Chow Mein,MENU
Beef Fried Rice,MENU
Bombay Tiger Prawns,MENU
Manchuria Chicken,MENU
Black Bean Sauce,MENU
Vegetarian Manchurian Balls,MENU
Bombay Paneer,MENU
Chilli Paneer,MENU
Szchewan Chicken,MENU
Dry Manchurian Beef,MENU
Chill Chicken,MENU
Szechwan Chicken,MENU
Szechuan Chicken,MENU
Pad Thai,MENU
Regular Fried Rice,MENU
Egg Rice,MENU
Egg,MENU
Chicken Karahi,MENU
Roghan Gosht,MENU
Chicken Roll,MENU
Chiken Tikka,MENU
Veggie Dish,MENU
Marinated Fish Kebab,MENU
Fish Pieces,MENU
Lamb Rogan Josht,MENU
Chicken Rogan Josh,MENU
Ground Beef Rogan Josh,MENU
Buttery Naan,MENU
Biryani Rice,MENU
Veggie Samosa,MENU
Chicken Afghan Tikki,MENU
Mix Vegetable Gravy,MENU
Tarka Daal,MENU
Salty Lassi,MENU
Beef Quorma,MENU
Beriani,MENU
Afghani Kabab,MENU
Plain,MENU
Coconut,MENU
Lamb Qorma,MENU
Malek Paneer,MENU
Quorma,MENU
Veggie Ball,MENU
Bbq Platter,MENU
Garam Masala,MENU
Butter Chicken Samosas,MENU
Quarma,MENU
Gobi Manchuria,MENU
Malia Kofta,MENU
Egg Kothu Paratha,MENU
Ghee Roast Dosa,MENU
Paneer Butter Masala,MENU
Barrel Chicken,MENU
Mango / Mint Juice,MENU
Rasam,MENU
Dum Aloo,MENU
Baby Potato Curry,MENU
Channa Palgk,MENU
Spinach,MENU
Plain Naan Bread,MENU
Dhal Tadka,MENU
Lentil Dumplings,MENU
Upma Vegetarian Dish,MENU
Ulab,MENU
Spicy Chicken Tandoori,MENU
Black Paper Chicken,MENU
Goat Biryani,MENU
Veg Manchurian Dry,MENU
Malai Cofta,MENU
Chili Paneer,MENU
Kadai Paneer,MENU
Idlis,MENU
Lamb Kurma,MENU
Chennai Chettinad,MENU
Pani Poori,MENU
Lamb Kohlapuri,MENU
Chettinad Curry,MENU
Garlic Curry,MENU
Pav Bhaji,MENU
Schezwan Noodles,MENU
Vada Pav,MENU
